vid,title,category,embed,thumbnail,channel,tag
XXHIK4iJYek,Machine Learning Algorithms Full Course | Tutorial,Machine Learning,"<iframe src=""https://www.youtube.com/embed/XXHIK4iJYek&t=34s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/XXHIK4iJYek&t=34s/hqdefault.jpg,Geek's Lesson,
H8wKE4YDB_E,Machine Learning Tutorial - What do neural networks learn ?,Machine Learning,"<iframe src=""https://www.youtube.com/embed/H8wKE4YDB_E"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/H8wKE4YDB_E/hqdefault.jpg,Geek's Lesson,
9otU3oIHxOQ,Practical Deep Learning - Part 3,Deep Learning,"<iframe src=""https://www.youtube.com/embed/9otU3oIHxOQ&t=131s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/9otU3oIHxOQ&t=131s/hqdefault.jpg,Geek's Lesson,
vuEkaESsrmY,Practical Deep Learning - Part 2,Deep Learning,"<iframe src=""https://www.youtube.com/embed/vuEkaESsrmY&t=3160s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/vuEkaESsrmY&t=3160s/hqdefault.jpg,Geek's Lesson,
Xams6pd3Opw,Practical Deep Learning - Part 1,Deep Learning,"<iframe src=""https://www.youtube.com/embed/Xams6pd3Opw&t=7344s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/Xams6pd3Opw&t=7344s/hqdefault.jpg,Geek's Lesson,
uGkIhx8KhbU,SQL Database Fundamentals for Data Science,Data Science,"<iframe src=""https://www.youtube.com/embed/uGkIhx8KhbU&t=5s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/uGkIhx8KhbU&t=5s/hqdefault.jpg,Geek's Lesson,
PJlAnR3asGQ,Complete Python Course - Beginner to Advanced || Python Programming Full Course,Python,"<iframe src=""https://www.youtube.com/embed/PJlAnR3asGQ&t=3373s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/PJlAnR3asGQ&t=3373s/hqdefault.jpg,Geek's Lesson,
ilLPz3TZVlo,How to pick a machine learning model 5  Navigating assumptions,Machine Learning,"<iframe src=""https://www.youtube.com/embed/ilLPz3TZVlo&t=19s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/ilLPz3TZVlo&t=19s/hqdefault.jpg,Geek's Lesson,
WKHagBOW2pQ,How to pick a machine learning model 2  Separating signal from noise,Machine Learning,"<iframe src=""https://www.youtube.com/embed/WKHagBOW2pQ"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/WKHagBOW2pQ/hqdefault.jpg,Geek's Lesson,
zt4kOkT1odc,How to pick a machine learning model 1 - Choosing between models,Machine Learning,"<iframe src=""https://www.youtube.com/embed/zt4kOkT1odc&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/zt4kOkT1odc&t=1s/hqdefault.jpg,Geek's Lesson,
HNTREH6Atu4,How to pick a machine learning model 4  Splitting the data,Machine Learning,"<iframe src=""https://www.youtube.com/embed/HNTREH6Atu4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/HNTREH6Atu4/hqdefault.jpg,Geek's Lesson,
LTjbP-52ZB4,How to pick a machine learning model 3  Choosing a loss function,Machine Learning,"<iframe src=""https://www.youtube.com/embed/LTjbP-52ZB4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/LTjbP-52ZB4/hqdefault.jpg,Geek's Lesson,
